id;parent_id;level;objectid;objecttype;querystatus;querytime;querytype;message
7825;None;0;CDU;seed;;None;None;
7826;7825;1;78502295414_10154025357075415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Herzlichen Glückwunsch, RCDS [Ring Christlich-Demokratischer Studenten]!
7827;7825;1;78502295414_10154025213885415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;"Die Große Koalition hat sich grundsätzlich auf härtere Strafen für Einbrecher geeinigt. Für die CDU ist jeder Einbruch ein Verbrechen. Deshalb wollen wir, dass die Mindeststrafe für Einbruch auf mindestens zwölf Monate angehoben wird.

Das zeigt: Die CDU ist die Partei der Inneren Sicherheit. Mehr dazu unter: http://k.cdu.de/cducsu-5-punkte-gegen-einbrueche"
7828;7825;1;78502295414_10154025000690415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Herbstblues bei den Grünen: Draußen fallen die Blätter und drinnen steigen die Steuer-Phantasien.
7829;7825;1;78502295414_10154023158930415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Deutschland bietet weltweit beste Chancen für junge Menschen. Dies bescheinigt eine aktuelle Studie der Organisation für wirtschaftliche Zusammenarbeit und Entwicklung (OECD).
7830;7825;1;78502295414_10154022998905415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Die CDU Deutschlands gratuliert Prof. Dr. Otto Wulff ganz herzlich zur Wiederwahl als Vorsitzender der Senioren-Union. Herzlichen Glückwunsch!
7831;7825;1;78502295414_10154020400845415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Die Zukunft der sozialen Sicherungssysteme war Thema beim Treffen von CDU und DGB Bundesvorstand. CDU.TV sprach mit Karl-Josef Laumann (CDU) und Annelie Buntenbach (DGB).
7832;7825;1;78502295414_10154014894665415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Peter Tauber: 1990 haben die Deutschen nicht gezaudert, sondern angepackt, hart gearbeitet und sich darauf konzentriert, scheinbar nicht auszuräumende Probleme zu lösen. Das Erreichte ist eine einzigartige Erfolgsgeschichte, auf die wir zu Recht stolz sein können. Dies sollte uns Mut und Zuversicht für die Zukunft geben.
7833;7825;1;78502295414_10154008166365415;data;fetched (200);2016-10-09 19:53:07.430000;Facebook:<user>/posts;Wir wünschen Ihnen ein frohes Erntedankfest!
7834;7825;1;78502295414_10154010324665415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;CDU und CSU (Christlich-Soziale Union) gemeinsam bei 3. Deutschlandkongress in München: Mit Fachpolitikern und Experten aus Wirtschaft und Gesellschaft diskutierten CDU-Vize Innenminister Thomas Strobl und Bundesverkehrsminister  Alexander Dobrindt, das Thema „Innovation und Digitalisierung“.
7835;7825;1;78502295414_10154007886800415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"Die Politik der Bundesregierung wirkt: Die Zahl der Flüchtlinge, die nach Deutschland kommen, ist deutlich zurückgegangen. Bundesinnenminister Thomas de Maizière sagte dazu: ""Wir haben im Laufe des Jahres viele Maßnahmen ergriffen, um Schritt für Schritt für Klarheit, Transparenz, Stabilität, Sicherheit und Ordnung in unserem Land zu sorgen."" Auch die Zahl der Flüchtlinge, die 2015 in unser Land kamen, ist deutlich geringer als angenommen. Mehr dazu hier:  http://www.bmi.bund.de/SharedDocs/Pressemitteilungen/DE/2016/09/asylsuchende-2015.html"
7836;7825;1;78502295414_10154005731110415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Deutschland ist auf einem guten Weg: Die deutsche Wirtschaft läuft rund. Die Arbeitslosigkeit ist auf dem niedrigsten Stand seit 25 Jahren. Immer mehr Menschen finden einen Arbeitsplatz. Und: Die Unternehmen suchen weiter neue Mitarbeiter.
7837;7825;1;78502295414_10154005198640415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Die Verbots-Partei ist zurück. BÜNDNIS 90/DIE GRÜNEN
7838;7825;1;78502295414_10154002756675415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Bundesfinanzminister Wolfgang Schäuble zu den großen Aufgaben unseres Landes in einem Gastbeitrag in der FAZ.NET - Frankfurter Allgemeine Zeitung: http://k.cdu.de/schaeuble-faz-deutschland
7839;7825;1;78502295414_10153998067390415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Facebook Live mit Julia Klöckner!
7840;7825;1;78502295414_10153994968895415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;„Das christliche Menschenbild, das leitet uns – CDU wie CSU“, sagte der hessische Ministerpräsident Volker Bouffier in Würzburg. Dort starteten die Deutschlandkongresse, eine gemeinsame Veranstaltungsreihe er beiden Unionsparteien. Bouffier stellte heraus, dass die Union die zentrale politische Kraft im Land sei – auf sie komme es an: „Wir überzeugen die Menschen.“ Mehr zu den Deutschlandkongressen unter www.d-kongress.de
7841;7825;1;78502295414_10153992606050415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Heute startet im fränkischen Würzburg die Reihe der gemeinsamen Deutschlandkongresse von CDU und CSU (Christlich-Soziale Union). Thema heute: Zusammenhalt der Gesellschaft. Mit dabei: Volker Bouffier, Peter Tauber, Barbara Stamm, Paul Ziemiak uvm. #dkongress
7842;7825;1;78502295414_10153989973765415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Deutschlandkongresse von CDU und CSU: Peter Tauber über die Folgen von Globalisierung, Digitalisierung und demografischem Wandel. Die Themen unserer Kongresse betreffen unser Land und unsere Bürger in allen Lebensbereichen.
7843;7825;1;78502295414_10153988262835415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Wir stärken die Pflege. Mit Stufe 3 der Pflegereform schaffen wir weitere Verbesserungen für Pflegebedürftige und ihre Angehörigen!
7844;7825;1;78502295414_10153982852865415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Sehen sie hier das Video der gestrigen Pressekonferenz von Angela Merkel.
7845;7825;1;78502295414_10153982525035415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"Heute ist Weltkindertag. Wir laden alle Kinder heute auf eine Tasse Kakao ins Konrad-Adenauer-Haus ein. 

UNICEF und das Deutsche Kinderhilfswerk wollen, dass Kinder gut geschützt aufwachsen und bestmöglich gefördert werden.  
Dafür arbeiten wir auch in der CDU-geführten Bundesregierung. Mehr dazu unter: https://www.cdu.de/voran"
7846;7825;1;78502295414_10153981079960415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;
7847;7825;1;78502295414_10153978474380415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;„Die CDU ist zwar zweitstärkste Kraft geblieben. Dennoch ist das Ergebnis für uns nicht erfreulich. Wir hatten uns ein besseres erhofft“, betonte CDU-Generalsekretär Peter Tauber mit Blick auf die ersten Hochrechnungen bei der Wahl zum Berliner Abgeordnetenhaus.
7848;7825;1;78502295414_10153977227320415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Für ein starkes Berlin heute mit allen Stimmen die CDU Berlin wählen!
7849;7825;1;78502295414_10153974986145415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Die CDU in Niedersachsen nominiert ihren Spitzenkandidaten für die nächste Landtagswahl.
7850;7825;1;78502295414_10153970662430415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Angela Merkel im rbb-Inforadio: „Meine Aufgabe ist nicht nur zu wissen, was andere denken, sondern für die Probleme auch Lösungen herbeizuführen“. Sie will in der Flüchtlingspolitik bürokratische Hürden abbauen und Integrationsanstrengungen verstärken.
7851;7825;1;CDU;offcut;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;
7852;7825;1;78502295414_10153970487355415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"Mit der Flexi-Rente erleichtern wir den flexiblen Übergang in den Ruhestand. Dabei muss sich Leistung lohnen: Wer freiwillig länger arbeitet, soll deshalb mehr in der Tasche haben.
https://www.cdu.de/artikel/die-flexi-rente-kommt"
7853;7825;1;78502295414_10153969942855415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Jetzt live vor dem Konrad-Adenauer-Haus!
7854;7825;1;78502295414_10153968508760415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Runter von der Bremse, Herr Gabriel!
7855;7825;1;78502295414_10153967665505415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Es braucht weniger Aktionismus, weniger Alarmismus, sondern in erster Linie Ruhe und ein bisschen mehr Mumm! Das schreibt Peter Tauber in einem Gastbeitrag für den Tagesspiegel aus Berlin.
7856;7825;1;78502295414_10153966213845415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Bei der sächsischen Union in Großenhain freut man sich.
7857;7825;1;78502295414_10153962722540415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"""Die CDU schneidet bei den Kommunalwahlen in Niedersachsen besser ab als alle Konkurrenzparteien."" Das schreibt die Hannoversche Allgemeine Zeitung / HAZ. Wir freuen uns mit der CDU in Niedersachsen und gratulieren allen gewählten Kommunalpolitikern. 
http://www.haz.de/Nachrichten/Politik/Niedersachsen/CDU-staerkste-Kraft-bei-Kommunalwahlen-2016-in-Niedersachsen"
7858;7825;1;78502295414_10153960369695415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Gehen Sie heute wählen! Ihre drei Stimmen für die Kandidatinnen und Kandidaten der CDU in Niedersachsen.
7859;7825;1;78502295414_10153960110910415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Die Bilder der einstürzenden Zwillingstürme des World Trade Centers in New York vor 15 Jahren sind wie kaum ein anderes Ereignis der jüngeren Geschichte in unser aller Erinnerung. „9/11“: Mit diesen Datumszahlen verbinden wir alle sofort die schrecklichen Anschläge auf die Vereinigten Staaten, bei denen vier entführte Flugzeuge in einer zuvor undenkbaren Weise als Waffen eingesetzt wurden, die tausendfachen Tod für Unschuldige brachten. Der Angriff galt damals nicht allein den USA, er zielte auf die Werte und die Lebensweise der gesamten zivilisierten Welt. Noch heute sind wir erschüttert von den damaligen Ereignissen und trauern um die Opfer.
7860;7825;1;78502295414_10153959470105415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Jetzt öffnen in Niedersachsen die Wahllokale. Die CDU in Niedersachsen tritt mit mehr als 17.000 Bewerbern an, die sich für ihre Mitbürger engagieren und für eine attraktive Heimat einsetzen. Gehen Sie wählen und wählen Sie die Kandidatinnen und Kandidaten der CDU!
7861;7825;1;78502295414_10153955304325415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"Das Vertrauen von Nichtwählern und enttäuschter Wähler gewinne man, indem man die Probleme löst, die die Menschen wirklich bewegen, ist Angela Merkel überzeugt. 
Eine Zusammenfassung des Interviews mit den Zeitungen der Funk Mediengruppe: https://www.cdu.de/artikel/cdu-will-buerger-entlasten"
7862;7825;1;78502295414_10153952369680415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;"Die CDU-geführte Bundesregierung hat den Haushaltsplan für 2017 und den Finanzplan bis 2020 vorgelegt. Das Wichtigste: Der Bund macht zum vierten Mal in Folge keine neuen Schulden und investiert gleichzeitig massiv in die Zukunft.
https://www.cdu.de/artikel/wir-investieren-unsere-zukunft"
7863;7825;1;78502295414_10153952291420415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;50 Jahre #StarTrek. Wir gratulieren.
7864;7825;1;78502295414_10153952141975415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Peter Tauber bei radioeins: Wir müssen uns um die Menschen kümmern, die jetzt Sorgen haben und diesen Menschen zeigen, dass ihre Sorgen unbegründet sind. Wir sind ein starkes Land und auch wenn sich unsere Welt verändert, werden wir die Herausforderungen bewältigen.
7865;7825;1;78502295414_10153951735260415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Der Bund investiert 2017 rund 17,6 Milliarden Euro in Bildung und Forschung. Das ist die Grundlage für beste Ausbildung und sichere Arbeitsplätze.
7866;7825;1;78502295414_10153950106055415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Unsere Werte: Freiheit, Sicherheit, Gerechtigkeit und Solidarität
7867;7825;1;78502295414_10153949982265415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Liebe Deutsche Paralympische Mannschaft, wir wünschen unseren 155 Athletinnen und Athleten viel Erfolg! #Rio2016 #WirfuerD
7868;7825;1;78502295414_10153949464650415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Angela Merkel zeigte sich trotz internationaler Unsicherheiten optimistisch: „Deutschland wird Deutschland bleiben -mit allem was uns daran lieb und teuer ist.“
7869;7825;1;78502295414_10153947074215415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Gute Nachricht aus DIE WELT, die das Land voran bringen: Die Löhne und Vermögensverhältnisse in Deutschland gleichen sich an, wie eine Studie des Instituts der deutschen Wirtschaft Köln (IW) ergeben hat. Die weitläufige Wahrnehmung, die Reichen würden immer reicher, während die Armen den Anschluss verlören, müsse zurückgewiesen werden, sagte IW-Direktor Michael Hüther.
7870;7825;1;78502295414_10153944091140415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Nach der Landtagswahl in Mecklenburg-Vorpommern hat der CDU-Bundesvorstand am Montagmorgen in einer rund 45-minütigen Telefonkonferenz über das Wahlergebnis beraten. Generalsekretär Peter Tauber zeigt sich enttäuscht über das Abschneiden der CDU.
7871;7825;1;78502295414_10153938829685415;data;fetched (200);2016-10-09 19:53:10.496000;Facebook:<user>/posts;Lesenswerter Artikel von Peter Tauber bei The European über die Zukunft der Parteien. Die CDU will Heimat für die rund 450.000 langjährigen Mitglieder bleiben wie auch Heimat für die rund 1000 Bürgerinnen und Bürger, die jeden Monat neu in die CDU eintreten, werden.
